forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-10-11,US,D,classic,0.2416,23.77,24.0,21.0,27.0,2.76,-1.0,6.52
2018-10-11,US,R,classic,0.6077,26.2,26.0,23.0,29.0,-2.76,1.0,-6.52
2018-10-12,US,D,classic,0.2231,23.66,24.0,21.0,27.0,2.65,-1.12,6.36
2018-10-12,US,R,classic,0.6263,26.3,26.0,23.0,29.0,-2.65,1.12,-6.36
2018-10-13,US,D,classic,0.2268,23.68,24.0,21.0,27.0,2.59,-1.16,6.34
2018-10-13,US,R,classic,0.6223,26.28,26.0,23.0,29.0,-2.59,1.16,-6.34
2018-10-16,US,D,classic,0.2264,23.68,24.0,21.0,27.0,2.63,-1.09,6.33
2018-10-16,US,R,classic,0.6186,26.28,26.0,23.0,29.0,-2.63,1.09,-6.33
2018-10-17,US,D,classic,0.2206,23.64,24.0,21.0,27.0,2.59,-1.09,6.29
2018-10-17,US,R,classic,0.6265,26.31,26.0,23.0,29.0,-2.59,1.09,-6.29
2018-10-18,US,D,classic,0.2252,23.66,24.0,21.0,27.0,2.57,-1.11,6.27
2018-10-18,US,R,classic,0.6243,26.29,26.0,23.0,29.0,-2.57,1.11,-6.27
2018-10-19,US,D,classic,0.2613,23.89,24.0,21.0,27.0,2.61,-1.06,6.27
2018-10-19,US,R,classic,0.591,26.11,26.0,23.0,29.0,-2.61,1.06,-6.27
2018-10-20,US,D,classic,0.2607,23.89,24.0,21.0,27.0,2.67,-0.99,6.29
2018-10-20,US,R,classic,0.5908,26.11,26.0,23.0,29.0,-2.67,0.99,-6.29
2018-10-21,US,D,classic,0.2709,23.98,24.0,21.0,27.0,2.78,-0.84,6.39
2018-10-21,US,R,classic,0.5766,26.02,26.0,23.0,29.0,-2.78,0.84,-6.39
2018-10-22,US,D,classic,0.2941,24.15,24.0,21.0,27.0,3.04,-0.57,6.69
2018-10-22,US,R,classic,0.5525,25.85,26.0,23.0,29.0,-3.04,0.57,-6.69
2018-10-23,US,D,classic,0.2788,24.04,24.0,21.0,27.0,2.97,-0.65,6.57
2018-10-23,US,R,classic,0.5693,25.96,26.0,23.0,29.0,-2.97,0.65,-6.57
2018-10-24,US,D,classic,0.2569,23.88,24.0,21.0,27.0,2.87,-0.72,6.46
2018-10-24,US,R,classic,0.5969,26.12,26.0,23.0,29.0,-2.87,0.72,-6.46
2018-10-25,US,D,classic,0.2489,23.83,24.0,21.0,27.0,2.61,-0.94,6.19
2018-10-25,US,R,classic,0.6053,26.17,26.0,23.0,29.0,-2.61,0.94,-6.19
2018-10-11,US,D,deluxe,0.2251,23.52,24.0,20.0,27.0,2.63,-1.09,6.36
2018-10-11,US,R,deluxe,0.6344,26.44,26.0,23.0,30.0,-2.63,1.09,-6.36
2018-10-12,US,D,deluxe,0.2138,23.48,24.0,20.0,27.0,2.62,-1.1,6.29
2018-10-12,US,R,deluxe,0.6427,26.47,26.0,23.0,30.0,-2.62,1.1,-6.29
2018-10-13,US,D,deluxe,0.2196,23.52,24.0,20.0,27.0,2.59,-1.11,6.3
2018-10-13,US,R,deluxe,0.6372,26.44,26.0,23.0,30.0,-2.59,1.11,-6.3
2018-10-16,US,D,deluxe,0.227,23.56,24.0,20.0,27.0,2.7,-0.98,6.35
2018-10-16,US,R,deluxe,0.6257,26.39,26.0,23.0,30.0,-2.7,0.98,-6.35
2018-10-17,US,D,deluxe,0.2229,23.54,24.0,20.0,27.0,2.64,-0.99,6.3
2018-10-17,US,R,deluxe,0.6319,26.41,26.0,23.0,30.0,-2.64,0.99,-6.3
2018-10-18,US,D,deluxe,0.2233,23.54,24.0,20.0,27.0,2.62,-1.02,6.26
2018-10-18,US,R,deluxe,0.632,26.41,26.0,23.0,30.0,-2.62,1.02,-6.26
