forecastdate,state,district,special,candidate,party,incumbent,model,win_probability,voteshare,p10_voteshare,p90_voteshare
2018-10-11,OK,"",,Kevin Stitt,R,false,classic,0.813,52.31,47.47,57.19
2018-10-11,OK,"",,Drew Edmondson,D,false,classic,0.1869,45.86,40.98,50.66
2018-10-11,OK,"",,Chris Powell,L,false,classic,0.0,1.83,0.45,3.6
2018-10-11,OR,"",,Kate Brown,D,true,classic,0.8898,51.92,46.65,57.13
2018-10-11,OR,"",,Knute Buehler,R,false,classic,0.1102,42.62,37.4,47.83
2018-10-11,OR,"",,Others,,false,classic,0.0,5.46,2.22,9.3
2018-10-11,PA,"",,Tom Wolf,D,true,classic,0.9902,56.96,52.7,61.19
2018-10-11,PA,"",,Scott Wagner,R,false,classic,0.0098,40.98,36.73,45.21
2018-10-11,PA,"",,Others,,false,classic,0.0,2.06,0.55,4.0
2018-10-11,RI,"",,Gina Raimondo,D,true,classic,0.9716,55.89,49.17,62.57
2018-10-11,RI,"",,Allan Fung,R,false,classic,0.0284,36.58,29.81,43.16
2018-10-11,RI,"",,Others,,false,classic,0.0,7.53,3.49,12.19
2018-10-11,SC,"",,Henry McMaster,R,true,classic,0.9616,56.02,51.76,60.23
2018-10-11,SC,"",,James Smith,D,false,classic,0.0384,43.98,39.77,48.24
2018-10-11,SD,"",,Kristi Noem,R,false,classic,0.8894,54.35,48.48,60.19
2018-10-11,SD,"",,Billie Sutton,D,false,classic,0.1106,43.44,37.58,49.25
2018-10-11,SD,"",,Kurt Evans,L,false,classic,0.0,2.21,0.6,4.25
2018-10-11,TN,"",,Bill Lee,R,false,classic,0.9447,52.64,47.62,57.56
2018-10-11,TN,"",,Karl Dean,D,false,classic,0.0553,41.18,36.15,46.1
2018-10-11,TN,"",,Others,,false,classic,0.0,6.18,2.65,10.33
2018-10-11,TX,"",,Greg Abbott,R,true,classic,0.9936,57.67,53.43,61.91
2018-10-11,TX,"",,Lupe Valdez,D,false,classic,0.0064,40.48,36.24,44.7
2018-10-11,TX,"",,Mark Tippetts,L,false,classic,0.0,1.85,0.46,3.63
2018-10-11,VT,"",,Phil Scott,R,true,classic,0.9578,53.51,47.92,59.0
2018-10-11,VT,"",,Christine Hallquist,D,false,classic,0.0422,39.68,34.09,45.18
2018-10-11,VT,"",,Others,,false,classic,0.0,6.81,3.04,11.22
2018-10-11,WI,"",,Tony Evers,D,false,classic,0.6125,49.37,44.2,54.52
2018-10-11,WI,"",,Scott Walker,R,true,classic,0.3875,47.24,42.03,52.36
2018-10-11,WI,"",,Others,,false,classic,0.0,3.4,1.12,6.22
2018-10-11,WY,"",,Mark Gordon,R,false,classic,0.9926,60.1,53.87,66.19
2018-10-11,WY,"",,Mary Throne,D,false,classic,0.0074,35.35,29.17,41.51
2018-10-11,WY,"",,Others,,false,classic,0.0,4.55,1.69,8.02
2018-10-12,AK,"",,Mike Dunleavy,R,false,classic,0.829,41.11,33.75,48.56
2018-10-12,AK,"",,Mark Begich,D,false,classic,0.1326,29.08,20.13,37.87
2018-10-12,AK,"",,Bill Walker,U,true,classic,0.0383,26.67,20.07,33.44
2018-10-12,AK,"",,Others,,false,classic,0.0,3.15,0.99,5.81
2018-10-12,AL,"",,Kay Ivey,R,true,classic,0.987,58.6,53.95,63.22
2018-10-12,AL,"",,Walt Maddox,D,false,classic,0.013,41.4,36.78,46.05
